url,category,source
https://www.buzzfeed.com/health.xml,Health,Buzzfeed
https://www.buzzfeed.com/tech.xml,Technology,Buzzfeed
https://www.buzzfeed.com/sports.xml,Sports,Buzzfeed
https://www.buzzfeed.com/business.xml,Business,Buzzfeed
https://www.theguardian.com/world/rss,News,The Guardian
https://www.theguardian.com/us/rss,News,The Guardian
https://www.theguardian.com/us/sport/rss,Sports,The Guardian
https://www.theguardian.com/us/culture/rss,Entertainment,The Guardian
https://www.theguardian.com/us/business/rss,Business,The Guardian
https://www.theguardian.com/us/technology/rss,Technology,The Guardian
https://www.vox.com/rss/index.xml,News,Vox
https://www.latimes.com/world-nation/rss2.0.xml,News,LA Times
https://www.latimes.com/sports/rss2.0.xml,Sports,LA Times
https://www.latimes.com/politics/rss2.0.xml,News,LA Times
https://www.latimes.com/business/rss2.0.xml,Business,LA Times,
https://www.latimes.com/entertainment-arts/rss2.0.xml,Entertainment,LA Times
https://www.latimes.com/science/rss2.0.xml,Science,LA Times
